日期,基金代码,基金名称,基金份额(亿份),ETF收盘价
20230104,510050,上证50ETF华夏,219.057668,2.663
20230104,510300,沪深300ETF华泰柏瑞,191.695877,3.9572
20230104,510310,沪深300ETF易方达,84.163074,1.8527
20230104,510500,中证500ETF南方,101.457686,5.9738
20230110,510050,上证50ETF华夏,210.408668,2.745
20230110,510300,沪深300ETF华泰柏瑞,184.720877,4.0824
20230110,510310,沪深300ETF易方达,82.863074,1.9118
20230110,510500,中证500ETF南方,100.921686,6.0698
20230111,510050,上证50ETF华夏,207.573668,2.752
20230111,510300,沪深300ETF华泰柏瑞,183.847877,4.0751
20230111,510310,沪深300ETF易方达,83.923074,1.9084
20230111,510500,中证500ETF南方,100.877686,6.0358
20230113,510050,上证50ETF华夏,207.357668,2.799
20230113,510300,沪深300ETF华泰柏瑞,186.439877,4.14
20230113,510310,沪深300ETF易方达,85.643074,1.9389
20230113,510500,中证500ETF南方,101.213686,6.0794
20230116,510050,上证50ETF华夏,216.97866800000003,2.846
20230116,510300,沪深300ETF华泰柏瑞,196.807877,4.1399
20230116,510310,沪深300ETF易方达,86.463074,1.9692
20230116,510500,中证500ETF南方,102.569686,6.1484
20230118,510050,上证50ETF华夏,219.489668,2.821
20230118,510300,沪深300ETF华泰柏瑞,199.714877,4.1319
20230118,510310,沪深300ETF易方达,88.383074,1.9656
20230118,510500,中证500ETF南方,104.377686,6.1744
20230119,510050,上证50ETF华夏,212.46066800000003,2.832
20230119,510300,沪深300ETF华泰柏瑞,200.209877,4.1573
20230119,510310,沪深300ETF易方达,88.043074,1.9777
20230119,510500,中证500ETF南方,105.557686,6.227
20230131,510050,上证50ETF华夏,216.105668,2.818
20230131,510300,沪深300ETF华泰柏瑞,208.939877,4.1577
20230131,510310,沪深300ETF易方达,87.803074,1.9781
20230131,510500,中证500ETF南方,108.833686,6.3119
20230201,510050,上证50ETF华夏,211.75866800000003,2.831
20230201,510300,沪深300ETF华泰柏瑞,207.193877,4.1962
20230201,510310,沪深300ETF易方达,87.283074,1.9965
20230201,510500,中证500ETF南方,106.385686,6.3883
20230203,510050,上证50ETF华夏,208.311668,2.784
20230203,510300,沪深300ETF华泰柏瑞,196.699877,4.1415
20230203,510310,沪深300ETF易方达,86.243074,1.9707
20230203,510500,中证500ETF南方,103.817686,6.3656
20230206,510050,上证50ETF华夏,208.779668,2.744
20230206,510300,沪深300ETF华泰柏瑞,194.683877,4.0864
20230206,510310,沪深300ETF易方达,86.083074,1.9446
20230206,510500,中证500ETF南方,102.733686,6.324
20230208,510050,上证50ETF华夏,207.420668,2.74
20230208,510300,沪深300ETF华泰柏瑞,190.669877,4.0755
20230208,510310,沪深300ETF易方达,82.343074,1.9396
20230208,510500,中证500ETF南方,94.989686,6.2893
20230209,510050,上证50ETF华夏,208.734668,2.771
20230209,510300,沪深300ETF华泰柏瑞,191.209877,4.13
20230209,510310,沪深300ETF易方达,82.203074,1.9656
20230209,510500,中证500ETF南方,96.141686,6.3757
20230215,510050,上证50ETF华夏,206.484668,2.761
20230215,510300,沪深300ETF华泰柏瑞,180.634877,4.122
20230215,510310,沪深300ETF易方达,81.643074,1.9621
20230215,510500,中证500ETF南方,86.665686,6.4045
20230221,510050,上证50ETF华夏,207.834668,2.81
20230221,510300,沪深300ETF华泰柏瑞,179.293877,4.1418
20230221,510310,沪深300ETF易方达,81.843074,1.9719
20230221,510500,中证500ETF南方,82.865686,6.4033
20230222,510050,上证50ETF华夏,210.660668,2.778
20230222,510300,沪深300ETF华泰柏瑞,178.915877,4.1046
20230222,510310,沪深300ETF易方达,81.823074,1.9541
20230222,510500,中证500ETF南方,81.621686,6.395
20230224,510050,上证50ETF华夏,207.879668,2.736
20230224,510300,沪深300ETF华泰柏瑞,173.173877,4.0587
20230224,510310,沪深300ETF易方达,82.083074,1.9323
20230224,510500,中证500ETF南方,78.429686,6.3604
20230227,510050,上证50ETF华夏,208.545668,2.731
20230227,510300,沪深300ETF华泰柏瑞,171.409877,4.0421
20230227,510310,沪深300ETF易方达,82.483074,1.9246
